branch_id,candidate_id,lane_class,family,comparison_mode,base_program_name,seed_variant,unique_address_target,horizon_multiplier,checkpoint_depth,hot_address_skew,seed_id,base_start,scaled_start,base_max_steps,max_steps,base_reference_step_count,expected_reference_step_count,base_unique_address_count,padding_unique_count,flatten_rounds,padding_base_address,expected_padding_instruction_count,target_wrapper_call_depth,source_runtime_stage,base_runtime_stage,program_name,base_variant_program_name,runtime_seconds,ns_per_step,exact_trace_match,exact_final_state_match,first_mismatch_step,failure_reason,failure_class,exact,read_observation_count,memory_read_count,stack_read_count,reference_step_count,memory_operation_count,memory_load_count,memory_store_count,unique_address_count,hottest_address,hottest_address_share,failure_axis_tags
continuity_anchor_subroutine_braid_u6_h2p0_cplus_one_kflattened,continuity_anchor_subroutine_braid_u6_h2p0_cplus_one_kflattened_seed0,continuity_anchor,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_admitted_address_anchor,6,2.0,plus_one,flattened,0,80,160,5120,12897,1576,5745,4,2,647,40000,2592,1,r21_d0_exact_executor_boundary_break_map,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_160_a96_r22_u6_h2p0_cplus_one_kflattened_seed0,bytecode_subroutine_braid_160_a96,0.1957851001061499,34174.39345542851,True,True,,,,True,3868,803,3065,5729,2583,803,1780,6,40000,0.2508710801393728,"plus_one_checkpoint_depth,flattened_hot_address_target"
continuity_anchor_subroutine_braid_u6_h2p0_cplus_one_kflattened,continuity_anchor_subroutine_braid_u6_h2p0_cplus_one_kflattened_seed1,continuity_anchor,subroutine_braid,medium_exact_trace,bytecode_subroutine_braid_80_a96,r19_heldout_address_anchor,6,2.0,plus_one,flattened,1,80,160,5120,12897,1576,5745,4,2,647,40016,2592,1,r21_d0_exact_executor_boundary_break_map,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_160_a112_r22_u6_h2p0_cplus_one_kflattened_seed1,bytecode_subroutine_braid_160_a112,0.19901600002776831,34738.348756810665,True,True,,,,True,3868,803,3065,5729,2583,803,1780,6,40016,0.2508710801393728,"plus_one_checkpoint_depth,flattened_hot_address_target"
continuity_anchor_helper_checkpoint_braid_u8_h2p0_cplus_one_kflattened,continuity_anchor_helper_checkpoint_braid_u8_h2p0_cplus_one_kflattened_seed0,continuity_anchor,helper_checkpoint_braid,medium_exact_trace,bytecode_helper_checkpoint_braid_60_a280_s0,r19_admitted_seed_anchor,8,2.0,plus_one,flattened,0,60,120,2560,8101,1608,6133,6,2,728,40064,2916,1,r21_d0_exact_executor_boundary_break_map,r19_d0_pointer_like_surface_generalization_gate,bytecode_helper_checkpoint_braid_120_a280_s0_r22_u8_h2p0_cplus_one_kflattened_seed0,bytecode_helper_checkpoint_braid_120_a280_s0,0.23683499998878688,38730.1717070788,True,True,,,,True,4229,842,3387,6115,2906,842,2064,8,40064,0.2508602890571232,"plus_one_checkpoint_depth,flattened_hot_address_target"
continuity_anchor_helper_checkpoint_braid_u8_h2p0_cplus_one_kflattened,continuity_anchor_helper_checkpoint_braid_u8_h2p0_cplus_one_kflattened_seed1,continuity_anchor,helper_checkpoint_braid,medium_exact_trace,bytecode_helper_checkpoint_braid_60_a280_s0,r19_heldout_seed_anchor,8,2.0,plus_one,flattened,1,60,120,2560,8101,1608,6133,6,2,728,40080,2916,1,r21_d0_exact_executor_boundary_break_map,r19_d0_pointer_like_surface_generalization_gate,bytecode_helper_checkpoint_braid_120_a280_s1_r22_u8_h2p0_cplus_one_kflattened_seed1,bytecode_helper_checkpoint_braid_120_a280_s1,0.13262290006969124,21688.12756658892,True,True,,,,True,4229,842,3387,6115,2906,842,2064,8,40080,0.2508602890571232,"plus_one_checkpoint_depth,flattened_hot_address_target"
continuity_anchor_checkpoint_replay_long_u16_h2p0_cplus_one_kflattened,continuity_anchor_checkpoint_replay_long_u16_h2p0_cplus_one_kflattened_seed0,continuity_anchor,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_admitted_address_anchor,16,2.0,plus_one,flattened,0,100,200,12800,30943,3126,11531,9,7,376,40128,5278,1,r21_d0_exact_executor_boundary_break_map,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_200_a128_r22_u16_h2p0_cplus_one_kflattened_seed0,bytecode_checkpoint_replay_long_200_a128,0.365574499941431,31769.748843437123,True,True,,,,True,8791,1804,6987,11507,5252,1804,3448,16,128,0.1527037319116527,"long_family,plus_one_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed"
continuity_anchor_checkpoint_replay_long_u16_h2p0_cplus_one_kflattened,continuity_anchor_checkpoint_replay_long_u16_h2p0_cplus_one_kflattened_seed1,continuity_anchor,checkpoint_replay_long,long_exact_final_state,bytecode_checkpoint_replay_long_100_a128,r19_heldout_address_anchor,16,2.0,plus_one,flattened,1,100,200,12800,30943,3126,11531,9,7,376,40144,5278,1,r21_d0_exact_executor_boundary_break_map,r19_d0_pointer_like_surface_generalization_gate,bytecode_checkpoint_replay_long_200_a144_r22_u16_h2p0_cplus_one_kflattened_seed1,bytecode_checkpoint_replay_long_200_a144,0.3748284999746829,32573.954981722683,True,True,,,,True,8791,1804,6987,11507,5252,1804,3448,16,144,0.1527037319116527,"long_family,plus_one_checkpoint_depth,flattened_hot_address_target,low_hottest_address_share_observed"
extended_probe_subroutine_braid_long_u12_h2p5_cplus_one_kbaseline,extended_probe_subroutine_braid_long_u12_h2p5_cplus_one_kbaseline_seed0,extended_probe,subroutine_braid_long,long_exact_final_state,bytecode_subroutine_braid_long_140_a176,r19_admitted_address_anchor,12,2.5,plus_one,baseline,0,140,350,10240,25681,2746,6882,4,8,0,40192,16,1,r21_d0_exact_executor_boundary_break_map,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_long_350_a176_r22_u12_h2p5_cplus_one_kbaseline_seed0,bytecode_subroutine_braid_long_350_a176,0.23229089996311814,33871.52230433335,True,True,,,,True,5620,1753,3867,6858,2815,1753,1062,12,176,0.49804618117229127,"long_family,plus_one_checkpoint_depth"
extended_probe_subroutine_braid_long_u12_h2p5_cplus_one_kbaseline,extended_probe_subroutine_braid_long_u12_h2p5_cplus_one_kbaseline_seed1,extended_probe,subroutine_braid_long,long_exact_final_state,bytecode_subroutine_braid_long_140_a176,r19_heldout_address_anchor,12,2.5,plus_one,baseline,1,140,350,10240,25681,2746,6882,4,8,0,40208,16,1,r21_d0_exact_executor_boundary_break_map,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_long_350_a208_r22_u12_h2p5_cplus_one_kbaseline_seed1,bytecode_subroutine_braid_long_350_a208,0.12615269992966205,18394.96936857131,True,True,,,,True,5620,1753,3867,6858,2815,1753,1062,12,208,0.49804618117229127,"long_family,plus_one_checkpoint_depth"
extended_probe_subroutine_braid_long_u12_h2p5_cplus_one_kflattened,extended_probe_subroutine_braid_long_u12_h2p5_cplus_one_kflattened_seed0,extended_probe,subroutine_braid_long,long_exact_final_state,bytecode_subroutine_braid_long_140_a176,r19_admitted_address_anchor,12,2.5,plus_one,flattened,0,140,350,10240,31329,2746,12530,4,8,353,40256,5664,1,r21_d0_exact_executor_boundary_break_map,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_long_350_a176_r22_u12_h2p5_cplus_one_kflattened_seed0,bytecode_subroutine_braid_long_350_a176,0.35998860001564026,28785.271071137075,True,True,,,,True,8444,1753,6691,12506,5639,1753,3886,12,176,0.24862564284447597,"long_family,plus_one_checkpoint_depth,flattened_hot_address_target"
extended_probe_subroutine_braid_long_u12_h2p5_cplus_one_kflattened,extended_probe_subroutine_braid_long_u12_h2p5_cplus_one_kflattened_seed1,extended_probe,subroutine_braid_long,long_exact_final_state,bytecode_subroutine_braid_long_140_a176,r19_heldout_address_anchor,12,2.5,plus_one,flattened,1,140,350,10240,31329,2746,12530,4,8,353,40272,5664,1,r21_d0_exact_executor_boundary_break_map,r19_d0_pointer_like_surface_generalization_gate,bytecode_subroutine_braid_long_350_a208_r22_u12_h2p5_cplus_one_kflattened_seed1,bytecode_subroutine_braid_long_350_a208,0.3762694000033662,30087.110187379352,True,True,,,,True,8444,1753,6691,12506,5639,1753,3886,12,208,0.24862564284447597,"long_family,plus_one_checkpoint_depth,flattened_hot_address_target"
